room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,rating,reviewCount,yearHosting,price,price_full,SYSTEM_COOKING_BASICS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_ELEVATOR,SYSTEM_SAUNA,SYSTEM_BREAKFAST,SYSTEM_BEACH,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_PIANO,SYSTEM_BATHTUB
559034921220790557,https://www.airbnb.com.vn/rooms/559034921220790557,Hoàn Kiếm,7,21.03196,105.84669,REGULAR,,Phòng riêng tại khu phố cổ/ban công/tầm nhìn ra thành phố,private_room,False,,/ đêm,2,True,True,,True,True,,True,True,False,False,False,True,True,,"4,52",42,5,456.471,₫456.471,,,True,,,,,,,,,,,,,,,,,,,,,,,,
33277319,https://www.airbnb.com.vn/rooms/33277319, Hang Dao Ward,13,21.03649,105.84916,REGULAR,,8 giường ngủ ký túc xá,hotel_room,False,,/ đêm,8,True,True,,,,,True,,False,,,,,,"4,43",7,,251.627,₫251.627,,,,True,True,,,,,,,,,True,,,True,,,,,,True,,,,
40554422,https://www.airbnb.com.vn/rooms/40554422,Hoàn Kiếm,30,21.03358,105.8543,REGULAR,,#22 PHÒNG RIÊNG ẤM CÚNG CÁCH️ HỒ HOÀN KIẾM❤️ 2 PHÚT,private_room,False,,/ đêm,2,,True,,,,,True,,False,False,False,True,True,,,1,5,441.885,₫441.885,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
847513943285043637,https://www.airbnb.com.vn/rooms/847513943285043637,Tây Hồ,16,21.06896,105.82393,REGULAR,,Studio 01 giường tại Thành phố Tây Hồ,entire_home,False,,/ đêm,2,,True,,True,True,True,,,False,False,,,,,"5,0",4,,430.765,₫430.765,True,True,,,,True,,,,,,,,,,,,,,True,,,,,,,
42236398,https://www.airbnb.com.vn/rooms/42236398,Tây Hồ,27,21.06339,105.8314,REGULAR,,TRAAM Việt Tea Inn - Phòng Deluxe,private_room,False,,/ đêm,2,True,True,True,True,True,,True,True,,,True,True,True,True,"5,0",7,4,482.683,₫482.683,,,,,,,,True,,,,,,,,,,,,,,,,,,,
29245929,https://www.airbnb.com.vn/rooms/29245929,,30,20.62668,105.21686,REGULAR,,Homestay Mường Bi - Chú Lon - Phòng đôi,private_room,False,,/ đêm,2,True,True,,True,True,,,,False,False,False,False,,,,2,5,,,True,,,,,,True,True,False,,,,,,,,,,,,,,,,,,
36889236,https://www.airbnb.com.vn/rooms/36889236,Thanh Xuân,19,20.98769,105.7979,REGULAR,,- CẢI TẠO MỚI Phòng Tư nhân gần trường Đại học Hà Nội.,private_room,False,,/ đêm,2,,True,True,True,,True,True,True,False,False,False,True,True,,"5,0",7,4,345.741,₫345.741,True,,,,,,,,,,,,,,,,,,,,,,,,,,
43685965,https://www.airbnb.com.vn/rooms/43685965,Hoàn Kiếm,30,21.03559,105.85361,REGULAR,,"Studio, thang máy, Hoàn Kiếm, gần khu phố cổ #B02",entire_home,False,,/ đêm,2,,True,True,True,True,True,True,True,,,,,,,"4,93",166,,492.143,₫492.143,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,
891590449449301061,https://www.airbnb.com.vn/rooms/891590449449301061,Hoàn Kiếm,12,21.0301731,105.8504665,REGULAR,,Mascapone - 50mtoHoan Kiem Lake,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,,,,,,,,489.189,₫489.189,True,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,
729625493927442011,https://www.airbnb.com.vn/rooms/729625493927442011,Hoàn Kiếm,6,21.03144,105.85,REGULAR,,Aqua house 3 * 50m hồ Guom * khu phố CỔ*netflix,private_room,False,,/ đêm,2,,True,True,True,True,True,True,,False,False,,,,,"4,17",23,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
735720253726051982,https://www.airbnb.com.vn/rooms/735720253726051982,Hoàn Kiếm,17,21.021208,105.8473892,REGULAR,,Vequehomflix/Villa4/Netflix/Nhà bếp/Hoà bình,private_room,False,,/ đêm,2,,True,,,True,True,True,,False,False,False,False,,,"4,43",7,8,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,
844817886726901754,https://www.airbnb.com.vn/rooms/844817886726901754,Ba Đình,8,21.033092023426853,105.81121545284986,REGULAR,,3 studio near WestLake and Lotte BaDinh,private_room,False,,/ đêm,2,,True,True,True,True,,,True,False,False,,,,,,,,379.441,₫379.441,True,,,,,,,True,,,,,,,,True,,,,,,,,,,,
22541913,https://www.airbnb.com.vn/rooms/22541913,Hanoi,16,21.00851,105.82306,REGULAR,,Phòng ngủ có sân vườn ngay trung tâm Hà Nội,private_room,False,,/ đêm,2,,True,,True,True,True,True,,False,False,True,True,True,,"4,82",87,6,347.972,₫347.972,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
891594785889170927,https://www.airbnb.com.vn/rooms/891594785889170927,Hoàn Kiếm,12,21.0301731,105.8504665,REGULAR,,Le Teapot @50m to HoanKiemLake,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,,,,,,,,489.189,₫489.189,True,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,
40364755,https://www.airbnb.com.vn/rooms/40364755,Hà Nội,30,21.03117,105.85395,REGULAR,,#41 PHONG CÁCH TỐI GIẢN ★5 phút đến Nhà hát Múa rối Nước,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,False,True,True,,"4,7",10,5,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
10540525,https://www.airbnb.com.vn/rooms/10540525,Hanoi,26,21.03489,105.84494,REGULAR,,Phòng studio rộng rãi gần khu phố cổ,private_room,False,,/ đêm,2,,True,True,True,True,True,True,,False,False,False,True,True,,"4,77",239,7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
34636213,https://www.airbnb.com.vn/rooms/34636213,,13,21.03259,105.80813,REGULAR,,"H251 * Căn hộ 1 giường * Giặt ủi, vệ sinh miễn phí * Phòng tập thể dục *Lotte",entire_home,False,,/ đêm,2,,True,,True,True,True,True,,,,,,,,"4,78",51,,487.151,₫487.151,True,True,,,,,,True,,,,True,,,,True,,,,,,,,,,,
770554277221934764,https://www.airbnb.com.vn/rooms/770554277221934764,Tây Hồ,28,21.0899591,105.7915941,REGULAR,,Ngôi nhà ấm áp và thân thiện - gần Hồ Tây,private_room,False,,/ đêm,2,,True,True,,True,True,True,,False,False,False,True,True,,,,,273.882,₫273.882,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
797679496311138245,https://www.airbnb.com.vn/rooms/797679496311138245,Hoàn Kiếm,5,21.03118,105.85587,REGULAR,,"Khu phố cổ Lovelyhome,Nhà thờ",entire_home,False,,/ đêm,2,True,True,True,True,True,True,True,,,,,,,,"4,21",29,,365.177,₫365.177,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,
767734500890791044,https://www.airbnb.com.vn/rooms/767734500890791044,Quảng An,14,21.06674,105.82421,REGULAR,,"Ngôi nhà ấm cúng, Trung tâm Tây Hồ, Gần Hồ.",entire_home,False,,/ đêm,2,,True,,,True,,True,True,False,False,,,,,"4,5",6,,428.212,₫428.212,True,,,,,,,,,,,,,,,,,,,,,,,,,,
43519626,https://www.airbnb.com.vn/rooms/43519626,Hà Nội,27,21.02954,105.81436,REGULAR,,[FLASHSALE]Local central loft@HanoiBuiHomestay,entire_home,False,,/ đêm,5,,True,True,,True,True,True,True,False,False,,,,,"4,86",29,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
836610309307990848,https://www.airbnb.com.vn/rooms/836610309307990848,Tây Hồ,10,21.06905,105.82356,REGULAR,,Studio Apt on To Ngoc Van 36,entire_home,False,,/ đêm,2,,True,,True,True,,,,False,False,,,,,"4,67",3,,424.589,₫424.589,True,,,,,True,,True,,,,,,,,True,,,,True,,,,,,,
39404445,https://www.airbnb.com.vn/rooms/39404445,Hoàn Kiếm,19,21.03336,105.85278,REGULAR,,Phố ✨Bia❗ ️ Phòng Riêng NHỎ ẤM cúng❗ ️,private_room,False,,/ đêm,2,True,True,,True,True,,True,,,,False,True,True,,"4,63",86,5,455.019,₫455.019,,,,True,True,,,,,,,,,,,,,,,,True,,,True,,,
41396609,https://www.airbnb.com.vn/rooms/41396609,Hoàn Kiếm,29,21.02093,105.84785,REGULAR,,Vequehomestay✩villa11✩NetflixTV✩VS riêng✩Sân để xe,private_room,False,,/ đêm,2,True,True,,True,True,True,True,,False,False,False,True,,,"4,75",84,7,385.405,₫385.405,,,,,,,,,False,,,,,,,,,,,,,,,,,,
882132395764014937,https://www.airbnb.com.vn/rooms/882132395764014937,Hoàn Kiếm,6,21.02958,105.8462,REGULAR,,Heart of Hoan Kiem super aesthetic,private_room,False,,/ đêm,2,,True,True,True,,,True,True,False,False,,,,True,,,,419.294,₫419.294,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
709835938086573677,https://www.airbnb.com.vn/rooms/709835938086573677,Ba Đình,6,21.04366,105.84068,REGULAR,,Căn hộ cao cấp của T.A homestay,private_room,False,,/ đêm,2,,True,,,True,,True,True,False,False,,,,,"4,87",53,,444.146,₫444.146,True,,,True,,,,,,True,,True,,,,,,,,,,,,,,,
40184377,https://www.airbnb.com.vn/rooms/40184377,Mai Châu,9,20.64883,105.06893,REGULAR,,• Bungalow ở Mai Châu không có Bữa sáng & Điều hòa nhiệt độ •,private_room,False,,/ đêm,3,,True,True,True,,True,True,,False,False,,,,,,,,433.647,₫433.647,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
37008022,https://www.airbnb.com.vn/rooms/37008022,Hoàn Kiếm,19,21.02877,105.8501,REGULAR,,Nhà Chuông - Phòng Xanh - Tầng 3,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,True,True,,,"4,39",23,4,485.087,₫485.087,True,,,True,,,,,False,True,True,,,,,,,,,,,,,,,,
47832947,https://www.airbnb.com.vn/rooms/47832947,Ba Đình,13,21.03311,105.80648,REGULAR,,H3362*01 giường Căn hộ* Ba Đình*Đào Tấn*Lote* Metropolis,private_room,False,,/ đêm,2,,True,True,True,True,,,,False,,True,True,True,,"4,88",26,4,487.151,₫487.151,True,,,,,,,True,,,,True,,,,True,,,,,,,,,,,
29520177,https://www.airbnb.com.vn/rooms/29520177,Ba Đình,9,21.0429,105.84386,REGULAR,,"SunFlower Homestay , Ngõ yên tĩnh,Gần khu phố cổ(1)",private_room,False,,/ đêm,2,,True,,True,True,True,True,,False,False,True,True,True,,"4,91",123,4,401.495,₫401.495,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
655504270627616890,https://www.airbnb.com.vn/rooms/655504270627616890,Hoàn Kiếm,7,21.00068,105.80866,REGULAR,,Khách sạn giá rẻ Hà Nội EcoStay 1 - Nhà trọ tập thể hỗn hợp,shared_room,False,,/ đêm,12,,True,True,True,,,True,True,False,False,,,,,,,,139.865,₫139.865,,True,,,True,,,,,,,,,,,,,,,,,,,True,,,
864463789203708916,https://www.airbnb.com.vn/rooms/864463789203708916,Ba Đình,30,21.04305,105.84366,REGULAR,,(II) Studio ấm cúng/Hà NộiHearts/,private_room,False,,/ đêm,2,,True,True,True,True,,True,,False,False,False,True,,,,1,10,,,True,,,,True,,,,False,,,,,,,,,,,,,,,,,,
47752792,https://www.airbnb.com.vn/rooms/47752792,Quảng An,11,21.05629,105.82142,REGULAR,,Lagrace05 Chỗ ở đẹp và ấm cúng,entire_home,False,,/ đêm,2,,True,True,True,True,True,,,False,,,,,,"4,62",50,,456.471,₫456.471,True,True,,,,,,True,,,,,,,,True,,,,,,,,,,,
740053486028534848,https://www.airbnb.com.vn/rooms/740053486028534848,Tây Hồ,15,21.05038,105.8381,REGULAR,,Căn hộ view hồ thoáng mát với không gian xanh,private_room,False,,/ đêm,2,True,True,True,True,True,,,,False,False,True,True,,,"4,79",28,6,379.280,₫379.280,True,,,,,,,,False,,,,,,,True,,,,,,,,,,,
885874241347852040,https://www.airbnb.com.vn/rooms/885874241347852040,Ba Đình,15,21.04462,105.84473,REGULAR,,AimeeHouse-Elevator-Netflix-Private for couples,private_room,False,,/ đêm,2,,True,True,True,True,True,True,,False,,False,True,True,,,1,4,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
825829918200290669,https://www.airbnb.com.vn/rooms/825829918200290669,Từ Liêm,7,21.0189403,105.7768348,REGULAR,,Căn hộ cho thuê tại MyDinh,entire_home,False,,/ đêm,2,,True,True,,True,True,True,True,False,False,,,,,,,,360.000,₫360.000,True,,,,,,,,,,,,,,,,,,,,,,,,,,
41270782,https://www.airbnb.com.vn/rooms/41270782,Tây Hồ,18,21.05911,105.80827,REGULAR,,Tuna Homestay,shared_room,False,,/ đêm,4,,True,True,True,True,,,,,,,,,,"4,88",8,,223.117,₫223.117,True,,,,,,True,True,,,,,,,True,True,,,,,,,,,True,,
876496221331960748,https://www.airbnb.com.vn/rooms/876496221331960748,Tây Hồ,16,21.060893167413937,105.82616920691528,REGULAR,,"Căn hộ 1 ngủ tại Xuân Diệu, Tây Hồ. (201)",private_room,False,,/ đêm,2,True,True,True,,True,True,,True,False,,,,,,,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,
872238611394717714,https://www.airbnb.com.vn/rooms/872238611394717714,Hà Đông,6,20.97481,105.78643,REGULAR,,20m2 nice room to live,private_room,False,,/ đêm,3,,,True,,,,True,True,False,False,False,True,,,,,,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,
16417995,https://www.airbnb.com.vn/rooms/16417995,Hanoi (Ha Noi),11,21.01406,105.83941,REGULAR,,Chỗ ở trong không khí trong lành cho thuê,private_room,False,,/ đêm,2,True,True,True,True,,,,,False,False,False,True,True,True,"4,42",38,7,267.664,₫267.664,True,,,,,,,,,,,,,,,,,,,,,,,,,,
846326834181939445,https://www.airbnb.com.vn/rooms/846326834181939445,Hoàn Kiếm,30,21.03267,105.84907,REGULAR,,Riêng với 2 giường | Vị trí siêu cấp | An toàn | Sáng,private_room,False,,/ đêm,2,,True,,True,True,True,True,,False,False,False,True,True,,"4,4",10,10,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,
41188415,https://www.airbnb.com.vn/rooms/41188415,Hanoi,25,21.01257,105.86028,REGULAR,,Ban công/2.netflix/wash/dry/Airportcar/Topferbed,entire_home,False,,/ đêm,2,,True,True,True,True,,,True,False,False,,,,,"4,91",11,,391.624,₫391.624,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,
20396864,https://www.airbnb.com.vn/rooms/20396864,Yên Phụ,23,21.05496,105.83629,REGULAR,,Kim Hanoi Homestay 3,private_room,False,,/ đêm,2,,True,True,True,,True,,,False,False,True,True,True,,"4,81",16,6,401.495,₫401.495,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,
757853117148784689,https://www.airbnb.com.vn/rooms/757853117148784689,Long Biên,10,21.0333,105.86943,REGULAR,,V 's Home Red River. Ngôi nhà cổ gần trung tâm 402,private_room,False,,/ đêm,2,True,True,,True,,True,True,True,False,False,True,True,True,,,,,328.659,₫328.659,True,,,,,,,,,,,,,,,,,,,,,,,,,,
797530386252866819,https://www.airbnb.com.vn/rooms/797530386252866819,Hoàn Kiếm,8,21.0279604,105.8436866,REGULAR,,Phòng Riêng Trung tâm Hà Nội nhìn ra thành phố,private_room,False,,/ đêm,2,,True,True,,,True,True,True,,,True,True,True,,"5,0",9,4,405.059,₫405.059,True,,,True,,,,,,,,,,,,,True,,,,,,,,,True,
880091000787624812,https://www.airbnb.com.vn/rooms/880091000787624812,Tây Hồ,30,21.07555,105.81696,REGULAR,,Chill studio full fur close Ho Tay water park,private_room,False,,/ đêm,2,,True,True,True,True,,,True,False,False,False,True,True,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
684372525391672164,https://www.airbnb.com.vn/rooms/684372525391672164,Hoàn Kiếm,10,21.03113346717561,105.8499859294304,REGULAR,,"LuxDorm center of Ho Guom, Old Quarter, Cathedral.",shared_room,False,,/ đêm,1,,True,True,True,,True,True,,,,,,,,"4,67",3,,263.831,₫263.831,True,,,True,,,,True,,,,,,,,,True,,,,True,,,,,,
762468471262428694,https://www.airbnb.com.vn/rooms/762468471262428694,Hoàn Kiếm,10,21.030949,105.850153,REGULAR,,"3minutes to Ho Guom, Ta Hien!",private_room,False,,/ đêm,2,True,True,True,True,,True,,,,,,,,True,,,,,,True,True,,,,True,,True,,,,,,,,,,,,,,,,,,,
689028227576760039,https://www.airbnb.com.vn/rooms/689028227576760039,Hoàn Kiếm,8,21.031115942428464,105.84999934047548,REGULAR,,"!!Lovely 3 doubed condo center Old Quarter,Ho Guom",private_room,False,,/ đêm,6,,True,True,True,,True,True,,,,,,,True,"4,45",20,,,,True,,True,,,True,,True,,,,,,,,,,,,,,,,,,,
24114959,https://www.airbnb.com.vn/rooms/24114959,Phú Diễn,17,21.04338,105.76689,REGULAR,,Lâu đài trên mây - phòng riêng trong căn hộ chung.,private_room,False,,/ đêm,2,True,True,True,,,,,,False,,True,True,True,,"4,75",28,5,455.330,₫455.330,True,,,,,True,True,,,,,True,True,,,,,,,,,,,,,,
822963877549896974,https://www.airbnb.com.vn/rooms/822963877549896974,Hoàn Kiếm,20,21.034940362040434,105.85269563491356,REGULAR,,Siêu trung tâm & giá rẻ| Giường cỡ King ấm cúng,private_room,False,,/ đêm,2,,True,,True,,,True,,False,False,True,True,,,"4,88",16,3,321.187,₫321.187,True,,True,,,,,,False,True,,,,,,,,,,,,,,,,,
35810046,https://www.airbnb.com.vn/rooms/35810046,,17,21.03263,105.80711,REGULAR,,"H223 1bed Apt* Free laundry, clearning*Gym*lotte",entire_home,False,,/ đêm,2,,True,,True,True,True,True,,False,,,,,,"4,93",56,,477.971,₫477.971,True,True,,,,,,,,,,True,,,,True,,,,,,,,,,,
24793107,https://www.airbnb.com.vn/rooms/24793107,Thành phố Yên Bái,9,21.71542,104.90628,REGULAR,,Căn hộ 498 Cửa Đông,entire_home,False,,/ đêm,4,,True,,True,True,True,,,False,False,,,,,,,,267.650,₫267.650,True,,,,,,True,True,,,,True,,,,,,,,,,,,,,,
795227624976095783,https://www.airbnb.com.vn/rooms/795227624976095783,Đống Đa,10,21.02649,105.83217,REGULAR,,"Phòng 20m2, giặt là miễn phí",private_room,False,,/ đêm,1,,True,True,True,,True,True,True,False,False,False,True,True,,"4,83",6,4,319.530,₫319.530,,,,,,,,,,,,True,,,,,,,,,,,,,,,
877417604854892292,https://www.airbnb.com.vn/rooms/877417604854892292,Từ Liêm,9,21.04141,105.76814,REGULAR,,Lan ‘s Home,private_room,False,,/ đêm,2,True,True,True,True,,,,,False,False,False,True,True,True,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,
689028118821448942,https://www.airbnb.com.vn/rooms/689028118821448942,Hoàn Kiếm,7,21.031150991920715,105.84999397605745,REGULAR,,"Lovelycondo center Old Quarter, Ta Hien, Cathedral",private_room,False,,/ đêm,2,,True,True,True,,True,True,,,,,,,True,"4,23",22,,364.000,₫364.000,,,True,,,True,,True,,,,,,,,,,,,,True,,,,,,
38507046,https://www.airbnb.com.vn/rooms/38507046,Ba Đình,15,21.04172,105.84291,REGULAR,,"SunFlower homestay , Làn đường yên tĩnh,Gần khu phố cổ(3)",private_room,False,,/ đêm,4,,True,,True,,True,True,,False,False,True,True,True,,"4,75",95,4,401.495,₫401.495,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,
31896934,https://www.airbnb.com.vn/rooms/31896934,,30,21.02345,105.82832,REGULAR,,Ban công đáng yêu - Phòng riêng tại Trung tâm thành phố Hà Nội.,private_room,False,,/ đêm,2,,True,True,True,,,,,False,False,False,True,True,True,"4,92",13,4,450.765,₫450.765,True,,,,,True,,,,,,,,,,,,,,True,,,,,,,
851727887915148354,https://www.airbnb.com.vn/rooms/851727887915148354,Đống Đa,26,21.0230565,105.8076453,REGULAR,,Một studio mới và thư giãn ở Đống Đa,entire_home,False,,/ đêm,2,,True,True,,True,True,,True,False,,,,,True,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,
893084657282957307,https://www.airbnb.com.vn/rooms/893084657282957307,Tây Hồ,12,21.0514036,105.8111512,REGULAR,,2 Bed Apartment -Fully Furnished,private_room,False,,/ đêm,2,,True,True,,True,True,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
865899151121410374,https://www.airbnb.com.vn/rooms/865899151121410374,Ba Đình,8,21.0303729,105.8148413,REGULAR,,Hằng'sweethome,private_room,False,,/ đêm,1,,True,True,True,,,,True,False,False,False,True,True,,,,,,,True,,,,,,,True,,,,,,,,,,,,True,,,,,,,
